ZHOU,#genre#
CCTV1「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230805/1.m3u8
CCTV1「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001022/index.m3u8?
CCTV2「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001220/index.m3u8?
CCTV3「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001186/index.m3u8?
CCTV4「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001221/index.m3u8?
CCTV5「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV5「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001187/index.m3u8?love=freedom
CCTV5+「IPV6」,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001188/index.m3u8?love=freedom
CCTV7「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001236/index.m3u8?love=freedom
CCTV8「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001189/index.m3u8?love=freedom
CCTV9「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001237/index.m3u8?love=freedom
CCTV10「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001238/index.m3u8?love=freedom
CCTV11「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001309/index.m3u8?love=freedom
CCTV12「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001239/index.m3u8?love=freedom
CCTV13「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001328/index.m3u8?love=freedom
CCTV14「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001240/index.m3u8?love=freedom
CCTV15「IPV6」,http://[2409:8087:1e03:21::36]:6610/cms001/ch00000090990000001338/index.m3u8?love=freedom
CCTV16「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
